chiave,etichetta,slug,n_dataset,media,pct,mediana,min,max,rating,n_excellent,n_bad,n_publisher
79d608ae-ea96-4736-9393-4154086f2e23,Comune di Treviglio,comune-di-treviglio,44,398.18,98.32,405,305,405,Excellent,41,0,1
0d3685ca-8d03-4226-a31d-ea60b7fcefce,INPS,inps,2460,397.84,98.23,405,305,405,Excellent,2447,0,2
ccc8eb67-5b1d-460c-be0c-1a698c9597aa,Universita della Calabria,universita-della-calabria,5,393.0,97.04,385,385,405,Excellent,5,0,1
184af785-59d7-44b3-aa77-31a8d724dc2b,Comune di Sulmona,comune-di-sulmona,12,388.33,95.88,385,385,405,Excellent,12,0,1
f1086794-56a8-4455-9136-cb23744c0ff2,Agenzia di Tutela della Salute di Brescia,agenzia-di-tutela-della-salute-di-brescia,10,387.0,95.56,385,385,405,Excellent,10,0,1
81b7f05a-333b-41ea-82a5-172756e4313e,Universita degli Studi di Ferrara,universita-degli-studi-di-ferrara,23,385.0,95.06,385,385,385,Excellent,23,0,1
5a3755df-20c7-4246-bf94-d6a6a0f30c09,Regione Piemonte,regione-piemonte,913,385.0,95.06,385,385,385,Excellent,913,0,1
5b9e346e-78a3-4923-b85b-c73a74cd7768,Gal Terra dei Messapi,gal-terra-dei-messapi,13,385.0,95.06,385,385,385,Excellent,13,0,3
b91100c9-76c3-4800-b54b-e04aef62dd3d,Comune di San Cesario di Lecce,comune-di-san-cesario-di-lecce,1,385.0,95.06,385,385,385,Excellent,1,0,1
628f052b-8df3-4c28-9393-6782500a3525,Giustizia Amministrativa,giustizia-amministrativa,436,385.0,95.06,385,385,385,Excellent,436,0,1
75cb7b56-1316-4b71-9e71-c68c5a62bae5,Provincia di Rovigo,provincia-di-rovigo,15,385.0,95.06,385,385,385,Excellent,15,0,1
b350a43c-e752-4d61-8b04-718141310786,Comune di Campagna,comune-di-campagna,6,385.0,95.06,385,385,385,Excellent,6,0,1
c94061b3-77ca-466f-acb0-5dccf2b54b07,Comune di Quartu Sant Elena,comune-di-quartu-sant-elena,11,385.0,95.06,385,385,385,Excellent,11,0,1
37e8c82e-371f-4db7-a426-d81e80b4b30e,Comune di Alba Adriatica,comune-di-alba-adriatica,4,385.0,95.06,385,385,385,Excellent,4,0,1
d381b465-d6d5-47ee-b07e-99e121265655,Comune Arzachena,comune-arzachena,11,385.0,95.06,385,385,385,Excellent,11,0,1
a4da9a0e-9ebf-4db1-9412-0f8a45b672e4,Comune di Arbus,comune-di-arbus,3,385.0,95.06,385,385,385,Excellent,3,0,1
252d0ba0-2b2c-4e11-9d76-49c92dcda67e,Comune di Arenzano,comune-di-arenzano,10,385.0,95.06,385,385,385,Excellent,10,0,1
5bed28f9-a3fc-4dce-a24b-f8c7728e0dc5,Comune di Latina,comune-di-latina,13,385.0,95.06,385,385,385,Excellent,13,0,1
1d92fe0b-49c7-45fe-9ab4-fed6e53f45d6,Comune di Pineto,comune-di-pineto,4,385.0,95.06,385,385,385,Excellent,4,0,1
363bf31c-cfec-49bf-b4ca-4af78304983e,Universita degli Studi di Macerata,universita-degli-studi-di-macerata,9,385.0,95.06,385,385,385,Excellent,9,0,1
5f8997d6-3acf-4de6-a07a-c46d5da2d47b,Comune di Sassari,comune-di-sassari,23,385.0,95.06,385,385,385,Excellent,23,0,1
de0b44d2-783e-4e91-8ec9-c79cca8a2299,Politecnico di Milano,politecnico-di-milano,25,385.0,95.06,385,385,385,Excellent,25,0,1
459fbd42-c496-4511-bac8-1f06e341d6ef,Comune di Bologna,comune-di-bologna,700,385.0,95.06,385,385,385,Excellent,700,0,23
ad653426-628d-444f-966a-c79a31355be5,Universita degli Studi di Teramo,universita-degli-studi-di-teramo,11,385.0,95.06,385,385,385,Excellent,11,0,1
937e603c-e069-4080-a8cd-9ec39f851bda,Agenzia di Tutela della Salute di Bergamo,agenzia-di-tutela-della-salute-di-bergamo,10,385.0,95.06,385,385,385,Excellent,10,0,1
49f1740e-4b40-4bd1-8f47-34d270507718,Asp Ambito 9,asp-ambito-9,8,385.0,95.06,385,385,385,Excellent,8,0,1
e1e9f349-ef2d-4894-91f4-d32f30db0a46,Comune di Giovinazzo,comune-di-giovinazzo,4,385.0,95.06,385,385,385,Excellent,4,0,1
9c4f6260-2af7-4c64-b145-36b178760710,Comune di Termoli,comune-di-termoli,5,385.0,95.06,385,385,385,Excellent,5,0,1
1b9af0d3-6292-49a5-9df2-f3a699acb83d,Comune di Cellole,comune-di-cellole,1,385.0,95.06,385,385,385,Excellent,1,0,1
a23ab1ea-4eba-4401-a013-267026452e44,Universita degli Studi di Catania,universita-degli-studi-di-catania,30,385.0,95.06,385,385,385,Excellent,30,0,1
82bf1957-ae6b-461f-8da0-9f20fabd7a6c,Comune di Alessandria,comune-di-alessandria,5,385.0,95.06,385,385,385,Excellent,5,0,1
cfbe70da-ac17-4fac-8887-fa82d7b9cc65,Comune di Barcellona Pozzo di Gotto,comune-di-barcellona-pozzo-di-gotto,17,385.0,95.06,385,385,385,Excellent,17,0,1
8da04a83-35e0-4f89-8dd2-fdba511e6f5f,Provincia di Catanzaro,provincia-di-catanzaro,8,385.0,95.06,385,385,385,Excellent,8,0,1
31fbab1c-8afa-4b9a-a0d9-5d46cd2543ae,Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna Bruno Ubertini,istituto-zooprofilattico-sperimentale-della-lombardia-e-dell-emilia-romagna-bruno-ubertini,11,385.0,95.06,385,385,385,Excellent,11,0,1
70318d13-2c24-46ea-8944-12d58fa13ae3,Comune di Tortona,comune-di-tortona,3,385.0,95.06,385,385,385,Excellent,3,0,1
eb41d753-1d8f-4c38-a7e0-8066258fe1cc,Universita degli Studi di Messina,universita-degli-studi-di-messina,13,385.0,95.06,385,385,385,Excellent,13,0,1
bfcad90b-75ba-4ced-9b07-6b2e846c2f70,Comune di Cerreto Guidi,comune-di-cerreto-guidi,5,385.0,95.06,385,385,385,Excellent,5,0,1
0c4aafe0-74bc-47ad-9878-0a615e9ffc30,Comune di Montale,comune-di-montale,3,385.0,95.06,385,385,385,Excellent,3,0,1
e15469e8-9a25-4903-87df-0ede1549022c,Unione dei Comuni Valdostani Mont Rose,unione-dei-comuni-valdostani-mont-rose,3,385.0,95.06,385,385,385,Excellent,3,0,1
b50a950c-fd0c-44e8-bd82-2c75898abe04,Comune di Pisticci,comune-di-pisticci,8,385.0,95.06,385,385,385,Excellent,8,0,1
aebbeaa2-70f6-4952-8ff6-e7579a1076ce,Comune di la Spezia,comune-di-la-spezia,6,385.0,95.06,385,385,385,Excellent,6,0,1
ab4e5be9-1a12-40da-bb93-559475c37bc9,Comune di Siracusa,comune-di-siracusa,10,385.0,95.06,385,385,385,Excellent,10,0,1
6f14896c-52ff-467b-9bda-2d2934ffbe18,Autorita di Regolazione dei Trasporti,autorita-di-regolazione-dei-trasporti,32,385.0,95.06,385,385,385,Excellent,32,0,1
cd67c34e-dc08-44f5-bf58-e50e2601a4de,Universita degli Studi di Udine,universita-degli-studi-di-udine,9,385.0,95.06,385,385,385,Excellent,9,0,1
e05e5762-9b48-4f5e-a72f-0d9af092bf5b,Comune di Sondrio,comune-di-sondrio,16,385.0,95.06,385,385,385,Excellent,16,0,1
e88d614c-c958-4807-bcbb-a82b59a7dd12,Asm Costruire Insieme,asm-costruire-insieme,3,385.0,95.06,385,385,385,Excellent,3,0,1
8722baa5-6824-4009-86e3-57075b943c5e,Provincia di Biella,provincia-di-biella,10,385.0,95.06,385,385,385,Excellent,10,0,1
0f63e7d6-119a-4a02-85e9-b11066fc5e58,Agenzia di Tutela della Salute della Val Padana,agenzia-di-tutela-della-salute-della-val-padana,13,385.0,95.06,385,385,385,Excellent,13,0,1
90149045-e871-4c03-b611-c0b7e6ca4b83,Comune di Isernia,comune-di-isernia,8,385.0,95.06,385,385,385,Excellent,8,0,1
26a277c1-b2a8-4414-bdf6-965f29aca9c8,Agenzia delle Dogane e dei Monopoli,agenzia-delle-dogane-e-dei-monopoli,31,385.0,95.06,385,385,385,Excellent,31,0,1
