id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
0d3685ca-8d03-4226-a31d-ea60b7fcefce,inps,INPS,2429,398.32,98.35,100.0,99.97,103.36,75.0,20.0,,,,,,
79d608ae-ea96-4736-9393-4154086f2e23,comune-di-treviglio,Comune di Treviglio,44,398.18,98.32,100.0,94.55,108.64,75.0,20.0,,,,,,
ccc8eb67-5b1d-460c-be0c-1a698c9597aa,universita-della-calabria,Universita della Calabria,5,393.0,97.04,100.0,100.0,98.0,75.0,20.0,,,,,,
184af785-59d7-44b3-aa77-31a8d724dc2b,comune-di-sulmona,Comune di Sulmona,12,388.33,95.88,100.0,100.0,93.33,75.0,20.0,,,,,,
f1086794-56a8-4455-9136-cb23744c0ff2,agenzia-di-tutela-della-salute-di-brescia,Agenzia di Tutela della Salute di Brescia,10,387.0,95.56,100.0,100.0,92.0,75.0,20.0,,,,,,
04d03e4d-13f6-4b1d-99eb-4bf11744cd16,libero-consorzio-comunale-di-agrigento,Libero Consorzio Comunale di Agrigento,11,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
0bf640aa-bbd6-4bc8-9409-a5669af7ed19,agenzia-regionale-per-il-lavoro-la-formazione-e-l-accreditamento,Agenzia Regionale per il Lavoro la Formazione e l'Accreditamento,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
0c4aafe0-74bc-47ad-9878-0a615e9ffc30,comune-di-montale,Comune di Montale,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
0f63e7d6-119a-4a02-85e9-b11066fc5e58,agenzia-di-tutela-della-salute-della-val-padana,Agenzia di Tutela della Salute della Val Padana,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
1377acf3-e741-43d1-a533-a695afadbcd3,comune-di-rapallo,Comune di Rapallo,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
15c50db6-58b4-4b9e-88f1-fa2394c7aefa,autorita-idrica-toscana,Autorita Idrica Toscana,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
15e75a8e-378b-4e6f-a414-ab8346c394b8,comune-di-castiglione-del-lago,Comune di Castiglione del Lago,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
1b9af0d3-6292-49a5-9df2-f3a699acb83d,comune-di-cellole,Comune di Cellole,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
1d92fe0b-49c7-45fe-9ab4-fed6e53f45d6,comune-di-pineto,Comune di Pineto,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
21c6292b-f32c-4fd1-9f8d-a3392fde8392,comune-di-vecchiano,Comune di Vecchiano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
250720a6-46e3-4f10-abe7-ec9902a49dd7,comune-di-terralba,Comune di Terralba,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
252d0ba0-2b2c-4e11-9d76-49c92dcda67e,comune-di-arenzano,Comune di Arenzano,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
2552ed41-d9a2-4a04-ba0a-dab5c123e03d,comunita-montana-valtellina-di-tirano,Comunita Montana Valtellina di Tirano,11,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
26401515-e0df-4f22-bb55-1a8ba45029d8,switch-catalog,Switch Catalog,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
