data,livello,chiave,slug,etichetta,n_dataset,media,mediana,min,max,rating
2026-08-03,holder,iacp_ba,iacp_ba,Arca - Puglia Centrale,4,395.0,,,,Excellent
2026-08-03,holder,asl_vvta,asl_vvta,ASL TARANTO,15,386.33,,,,Excellent
2026-08-03,holder,c_f916,c_f916,Comune di Nociglia,3,385.0,,,,Excellent
2026-08-03,holder,asl_br,asl_br,ASL BRINDISI,1,385.0,,,,Excellent
2026-08-03,holder,c_d223,c_d223,Comune di Cursi,4,385.0,,,,Excellent
2026-08-03,holder,c_l172,c_l172,Comune di Santa Cesarea Terme,4,385.0,,,,Excellent
2026-08-03,holder,c_f221,c_f221,Comune di Minervino di Lecce,5,385.0,,,,Excellent
2026-08-03,holder,c_m187,c_m187,Comune di Zollino,3,385.0,,,,Excellent
2026-08-03,holder,c_l010,c_l010,Comune di Surano,3,385.0,,,,Excellent
2026-08-03,holder,c_f117,c_f117,Comune di Melpignano,8,385.0,,,,Excellent
2026-08-03,holder,arltl_0,arltl_0,ARTI Puglia,13,385.0,,,,Excellent
2026-08-03,holder,asset,asset,ASSET Puglia,28,385.0,,,,Excellent
2026-08-03,holder,c_b584,c_b584,Comune di Candela,4,385.0,,,,Excellent
2026-08-03,holder,c_l115,c_l115,Comune di San Pietro in Lama,3,385.0,,,,Excellent
2026-08-03,holder,c_e882,c_e882,Comune di Manduria,5,385.0,,,,Excellent
2026-08-03,holder,c_f194,c_f194,Comune di Miggiano,3,385.0,,,,Excellent
2026-08-03,holder,c_g291,c_g291,Comune Palo Del Colle,5,385.0,,,,Excellent
2026-08-03,holder,c_h096,c_h096,Città di Putignano,3,385.0,,,,Excellent
2026-08-03,holder,c_e053,c_e053,Comune di Giuggianello,4,385.0,,,,Excellent
2026-08-03,holder,c_l008,c_l008,Comune di Supersano,3,385.0,,,,Excellent
2026-08-03,holder,c_l887,c_l887,Comune di Specchia,4,385.0,,,,Excellent
2026-08-03,holder,pusv,pusv,Puglia Sviluppo SpA,8,385.0,,,,Excellent
2026-08-03,holder,adisu,adisu,Adisu,12,385.0,,,,Excellent
2026-08-03,holder,ipres,ipres,IPRES,51,385.0,,,,Excellent
2026-08-03,holder,c_a281,c_a281,Comune di Andrano,3,385.0,,,,Excellent
2026-08-03,holder,c_e038,c_e038,Comune di Gioia del Colle,5,385.0,,,,Excellent
2026-08-03,holder,c_f881,c_f881,Comune di Neviano,3,385.0,,,,Excellent
2026-08-03,holder,c_b690,c_b690,Comune di Caprarica di Lecce,3,385.0,,,,Excellent
2026-08-03,holder,crpuglia,crpuglia,Consiglio Regionale della Puglia,1,385.0,,,,Excellent
2026-08-03,holder,c_b822,c_b822,Comune di Carpignano Salentino,4,385.0,,,,Excellent
