id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality
iacp_ba,,Arca - Puglia Centrale,4,395.0,97.53,100.0,100.0,100.0,75.0,20.0
asl_vvta,,ASL TARANTO,15,386.33,95.39,100.0,100.0,91.33,75.0,20.0
c_f916,,Comune di Nociglia,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
ASL_BR,,ASL BRINDISI,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_d223,,Comune di Cursi,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_l172,,Comune di Santa Cesarea Terme,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_f221,,Comune di Minervino di Lecce,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_m187,,Comune di Zollino,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_l010,,Comune di Surano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_f117,,Comune di Melpignano,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0
arltl_0,,ARTI Puglia,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0
asset,,ASSET Puglia,28,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_b584,,Comune di Candela,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_l115,,Comune di San Pietro in Lama,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_e882,,Comune di Manduria,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_f194,,Comune di Miggiano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_g291,,Comune Palo Del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_h096,,Città di Putignano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_e053,,Comune di Giuggianello,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_l008,,Comune di Supersano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_l887,,Comune di Specchia,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0
PUSV,,Puglia Sviluppo SpA,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0
adisu,,Adisu,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0
ipres,,IPRES,51,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_a281,,Comune di Andrano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_e038,,Comune di Gioia del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_f881,,Comune di Neviano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_b690,,Comune di Caprarica di Lecce,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0
crpuglia,,Consiglio Regionale della Puglia,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_b822,,Comune di Carpignano Salentino,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0
c_f027,,Comune di Massafra,38,384.21,94.87,100.0,100.0,89.21,75.0,20.0
artpp,,ARET - Pugliapromozione,23,384.13,94.85,100.0,100.0,89.13,75.0,20.0
r_puglia,,Regione Puglia,247,383.66,94.73,100.0,99.6,89.31,74.76,20.0
arlpa,,ARPAL,6,381.67,94.24,100.0,100.0,90.0,71.67,20.0
C_d863,,Comune di Galatone,39,379.1,93.6,100.0,93.85,90.26,75.0,20.0
c_l328,,Città di Trani,5,379.0,93.58,100.0,100.0,84.0,75.0,20.0
ATO_PU,,Autorità idrica Pugliese (AIP),13,375.77,92.78,100.0,100.0,80.77,75.0,20.0
c_c978,,Comune di Copertino,16,375.0,92.59,100.0,90.0,90.0,75.0,20.0
c_a874,,Comune di Binetto,3,375.0,92.59,100.0,100.0,80.0,75.0,20.0
ARPAP,,ARPA Puglia ,21,372.62,92.0,100.0,88.57,89.05,75.0,20.0
c_h985,,Comune di San Marco in Lamis,10,368.53,91.0,100.0,90.59,82.94,75.0,20.0
arsls,,Agenzia Regionale Strategica per la Salute ed il Sociale,75,366.87,90.59,100.0,85.07,86.8,75.0,20.0
c_g251,,Comune di Palagianello,3,358.33,88.48,100.0,73.33,90.0,75.0,20.0
05487980723,,AMIU,8,355.0,87.65,100.0,100.0,60.0,75.0,20.0
c_a662,,Comune di Bari,158,351.96,86.9,100.0,100.0,56.96,75.0,20.0
c_e506,,Comune di Lecce,505,350.35,86.51,100.0,66.38,89.01,74.96,20.0
c_e986,,Comune di Martina Franca,32,349.38,86.27,100.0,65.0,89.38,75.0,20.0
c_g098,,Comune di Oria,21,347.86,85.89,100.0,65.71,87.14,75.0,20.0
cciaa_le,,Camera di Commercio di Lecce,447,346.81,85.63,100.0,61.16,90.65,75.0,20.0
C_D171,,Comune di Crispiano,36,324.44,80.11,100.0,42.22,87.22,75.0,20.0
c_e471,,Comune di Latiano,9,320.56,79.15,100.0,37.78,87.78,75.0,20.0
c_f816,,Comune di Muro Leccese,12,315.0,77.78,100.0,33.33,86.67,75.0,20.0
c_a893,,Comune di Bitonto,55,310.82,76.75,100.0,25.82,90.0,75.0,20.0
c_f563,,Comune di Montemesola,40,305.0,75.31,100.0,20.0,90.0,75.0,20.0
c_i950,,Comune di Sternatia,3,305.0,75.31,100.0,20.0,90.0,75.0,20.0
