id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi
iacp_ba,,Arca - Puglia Centrale,4,395.0,97.53,100.0,100.0,100.0,75.0,20.0,1
asl_vvta,,ASL TARANTO,15,386.33,95.39,100.0,100.0,91.33,75.0,20.0,1
arlpa,,ARPAL,6,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_f916,,Comune di Nociglia,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
asl_br,,ASL BRINDISI,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_d223,,Comune di Cursi,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_l172,,Comune di Santa Cesarea Terme,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_f221,,Comune di Minervino di Lecce,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_m187,,Comune di Zollino,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_l010,,Comune di Surano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_f117,,Comune di Melpignano,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
arltl_0,,ARTI Puglia,13,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
asset,,ASSET Puglia,28,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_b584,,Comune di Candela,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_l115,,Comune di San Pietro in Lama,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_e882,,Comune di Manduria,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_f194,,Comune di Miggiano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_g291,,Comune Palo Del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_h096,,Città di Putignano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_e053,,Comune di Giuggianello,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_l008,,Comune di Supersano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
pusv,,Puglia Sviluppo SpA,8,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
adisu,,Adisu,12,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
ipres,,IPRES,51,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_a281,,Comune di Andrano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_e038,,Comune di Gioia del Colle,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_f881,,Comune di Neviano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_b690,,Comune di Caprarica di Lecce,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
crpuglia,,Consiglio Regionale della Puglia,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_b822,,Comune di Carpignano Salentino,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1
c_f027,,Comune di Massafra,38,384.21,94.87,100.0,100.0,89.21,75.0,20.0,1
artpp,,ARET - Pugliapromozione,23,384.13,94.85,100.0,100.0,89.13,75.0,20.0,1
r_puglia,,Regione Puglia,247,383.91,94.79,100.0,99.6,89.31,75.0,20.0,1
c_d863,,Comune di Galatone,39,379.62,93.73,100.0,93.85,90.77,75.0,20.0,1
c_l328,,Città di Trani,5,379.0,93.58,100.0,100.0,84.0,75.0,20.0,1
ato_pu,,Autorità idrica Pugliese (AIP),13,375.77,92.78,100.0,100.0,80.77,75.0,20.0,1
c_c978,,Comune di Copertino,16,375.0,92.59,100.0,90.0,90.0,75.0,20.0,1
c_a874,,Comune di Binetto,3,375.0,92.59,100.0,100.0,80.0,75.0,20.0,1
arpap,,ARPA Puglia ,21,371.67,91.77,100.0,87.62,89.05,75.0,20.0,1
arsls,,Agenzia Regionale Strategica per la Salute ed il Sociale,75,366.87,90.59,100.0,85.07,86.8,75.0,20.0,1
c_h985,,Comune di San Marco in Lamis,10,363.0,89.63,100.0,84.0,84.0,75.0,20.0,1
c_l887,,Comune di Specchia,6,358.33,88.48,100.0,73.33,90.0,75.0,20.0,1
c_g251,,Comune di Palagianello,3,358.33,88.48,100.0,73.33,90.0,75.0,20.0,1
05487980723,,AMIU,8,355.0,87.65,100.0,100.0,60.0,75.0,20.0,1
cciaa_le,,Camera di Commercio di Lecce,450,353.51,87.29,100.0,68.0,90.51,75.0,20.0,1
c_e506,,Comune di Lecce,505,353.22,87.21,100.0,69.17,89.05,75.0,20.0,2
c_a662,,Comune di Bari,158,351.96,86.9,100.0,100.0,56.96,75.0,20.0,1
c_e986,,Comune di Martina Franca,32,349.38,86.27,100.0,65.0,89.38,75.0,20.0,1
c_g098,,Comune di Oria,21,347.86,85.89,100.0,65.71,87.14,75.0,20.0,1
c_e471,,Comune di Latiano,9,338.33,83.54,100.0,55.56,87.78,75.0,20.0,1
c_d171,,Comune di Crispiano,36,335.56,82.85,100.0,53.33,87.22,75.0,20.0,1
c_f816,,Comune di Muro Leccese,12,335.0,82.72,100.0,53.33,86.67,75.0,20.0,1
c_a893,,Comune di Bitonto,55,326.82,80.7,100.0,41.82,90.0,75.0,20.0,1
c_f563,,Comune di Montemesola,40,305.0,75.31,100.0,20.0,90.0,75.0,20.0,1
c_i950,,Comune di Sternatia,3,305.0,75.31,100.0,20.0,90.0,75.0,20.0,1
