id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg
anci,,Anci - Associazione Nazionale Comuni Italiani,1,405.0,100.0,100.0,100.0,110.0,75.0,20.0,1,1,Associazione Nazionale Dei Comuni Italiani,RM,Lazio
ucp_ar,,Unione dei Comuni del Pratomagno,3,405.0,100.0,100.0,100.0,110.0,75.0,20.0,1,1,Unione dei Comuni del Pratomagno,AR,Toscana
inps,,Istituto Nazionale di Previdenza Sociale,2438,398.27,98.34,100.0,99.97,103.31,75.0,20.0,2,1,Istituto Nazionale Previdenza Sociale - INPS,RM,Lazio
c_l400,,Comune di Treviglio,44,398.18,98.32,100.0,94.55,108.64,75.0,20.0,1,1,Comune di Treviglio,BG,Lombardia
iacp_ba,,Arca - Puglia Centrale,4,395.0,97.53,100.0,100.0,100.0,75.0,20.0,1,1,Agenzia Regionale per la Casa e l'Abitare - Arca - Puglia Centrale,BA,Puglia
unical,,Università della Calabria,5,393.0,97.04,100.0,100.0,98.0,75.0,20.0,1,1,Università della Calabria,CS,Calabria
c_h901,,Comune di San Giovanni Valdarno,16,390.86,96.51,100.0,100.0,95.86,75.0,20.0,1,1,Comune di San Giovanni Valdarno,AR,Toscana
c_i804,,Comune di Sulmona,12,388.33,95.88,100.0,100.0,93.33,75.0,20.0,1,1,Comune di Sulmona,AQ,Abruzzo
c_d735,,Comune di Fosdinovo,15,387.35,95.64,100.0,100.0,92.35,75.0,20.0,1,1,Comune di Fosdinovo,MS,Toscana
atsbs,,Agenzia di Tutela della Salute di Brescia,10,387.0,95.56,100.0,100.0,92.0,75.0,20.0,1,1,Agenzia di Tutela della Salute di Brescia,BS,Lombardia
asl_vvta,,ASL TARANTO,15,386.33,95.39,100.0,100.0,91.33,75.0,20.0,1,1,Azienda Sanitaria Locale di Taranto,TA,Puglia
c_l537,,Comune di Vaiano,18,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Vaiano,PO,Toscana
dmdapy,,Città metropolitana di Torino,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,
c_d208,,Comune di Cuorgnè,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Cuorgne',TO,Piemonte
mr,,Unione dei Comuni valdostani Mont-Rose,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Unione Dei Comuni Valdostani Mont-Rose,AO,Valle d'Aosta/Vallée d'Aoste
r_piemont,,Regione Piemonte,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,0,,,
