id,slug,titolare,n_dataset,scoring,pct,rating,findability,accessibility,reusability,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
c_f563,,Comune di Montemesola,40,6.88,91.73,Excellent,4.5,0.5,1.5,1,1,Comune di Montemesola,TA,Puglia,regione-puglia
c_a893,,Comune di Bitonto,55,6.88,91.73,Excellent,4.5,0.5,1.5,1,1,Comune di Bitonto,BA,Puglia,regione-puglia
c_f117,,Comune di Melpignano,8,6.88,91.73,Excellent,4.5,0.5,1.5,1,1,Comune di Melpignano,LE,Puglia,regione-puglia
c_h096,,Città di Putignano,3,6.88,91.73,Excellent,4.5,0.5,1.5,1,1,Comune di Putignano,BA,Puglia,regione-puglia
c_f816,,Comune di Muro Leccese,12,6.83,91.07,Excellent,4.5,0.5,1.5,1,1,Comune di Muro Leccese,LE,Puglia,regione-puglia
c_e038,,Comune di Gioia del Colle,5,6.83,91.07,Excellent,4.5,0.5,1.5,1,1,Comune di Gioia del Colle,BA,Puglia,regione-puglia
asl_vvta,,ASL TARANTO,14,6.81,90.8,Excellent,4.5,0.5,1.5,1,1,Azienda Sanitaria Locale di Taranto,TA,Puglia,regione-puglia
c_e471,,Comune di Latiano,9,6.78,90.4,Excellent,4.5,0.5,1.5,1,1,Comune di Latiano,BR,Puglia,regione-puglia
cciaa_le,,Camera di Commercio di Lecce,430,6.78,90.4,Excellent,4.5,0.5,1.5,1,1,"Camera di Commercio, Industria, Artigianato e Agricoltura di Lecce",LE,Puglia,regione-puglia
c_g251,,Comune di Palagianello,4,6.77,90.27,Excellent,4.5,0.5,1.5,1,1,Comune di Palagianello,TA,Puglia,regione-puglia
adisu,,Adisu,12,6.75,90.0,Excellent,4.5,0.5,1.5,1,1,Agenzia per Il Diritto allo Studio Universitario di Puglia,BA,Puglia,regione-puglia
c_g098,,Comune di Oria,21,6.74,89.87,Excellent,4.5,0.5,1.5,1,1,Comune di Oria,BR,Puglia,regione-puglia
pusv,,Puglia Sviluppo SpA,8,6.73,89.73,Excellent,4.5,0.5,1.5,1,1,Puglia Sviluppo S.P.A.,BA,Puglia,regione-puglia
c_a662,,Comune di Bari,171,6.7,89.33,Excellent,4.5,0.5,1.5,1,1,Comune di Bari,BA,Puglia,regione-puglia
artpp,,ARET - Pugliapromozione,23,6.7,89.33,Excellent,4.5,0.5,1.5,1,1,Agenzia Regionale del Turismo - Pugliapromozione,BA,Puglia,regione-puglia
c_d863,,Comune di Galatone,36,6.7,89.33,Excellent,4.5,0.5,1.5,1,1,Comune di Galatone,LE,Puglia,regione-puglia
c_c978,,Comune di Copertino,16,6.69,89.2,Excellent,4.5,0.5,1.5,1,1,Comune di Copertino,LE,Puglia,regione-puglia
arpap,,ARPA Puglia ,21,6.68,89.07,Excellent,4.5,0.5,1.5,1,1,Agenzia Regionale per la Protezione dell'Ambiente della Puglia,BA,Puglia,regione-puglia
ipres,,IPRES,51,6.68,89.07,Excellent,4.5,0.5,1.5,1,1,Istituto Pugliese di Ricerche Economiche e Sociali Ipres,BA,Puglia,regione-puglia
c_e506,,Comune di Lecce,472,6.68,89.07,Excellent,4.5,0.5,1.5,1,1,Comune di Lecce,LE,Puglia,regione-puglia
asset,,ASSET Puglia,28,6.67,88.93,Excellent,4.5,0.5,1.5,1,1,Agenzia Regionale Strategica per Lo Sviluppo Ecosostenibile del Territorio,BA,Puglia,regione-puglia
c_e986,,Comune di Martina Franca,39,6.63,88.4,Excellent,4.5,0.5,1.5,1,1,Comune di Martina Franca,TA,Puglia,regione-puglia
c_d223,,Comune di Cursi,4,6.62,88.27,Excellent,4.5,0.5,1.5,1,1,Comune di Cursi,LE,Puglia,regione-puglia
c_f221,,Comune di Minervino di Lecce,5,6.62,88.27,Excellent,4.5,0.5,1.5,1,1,Comune di Minervino di Lecce,LE,Puglia,regione-puglia
c_m187,,Comune di Zollino,3,6.62,88.27,Excellent,4.5,0.5,1.5,1,1,Comune di Zollino,LE,Puglia,regione-puglia
c_b822,,Comune di Carpignano Salentino,4,6.62,88.27,Excellent,4.5,0.5,1.5,1,1,Comune di Carpignano Salentino,LE,Puglia,regione-puglia
